orderID,deliveryDate,shipDate
8E3,2008-08-02,2008-02-08
2Z8,2008-05-22,2008-02-25
0J0,2008-06-20,2008-06-12
2U0,2008-07-22,2008-05-13
4H8,2008-07-01,2008-05-26
0A4,2008-05-03,2008-04-28
6J2,2008-06-19,2008-04-11
0W5,2008-06-30,2008-05-25
7G9,2008-06-11,2008-01-23
0H6,2008-08-10,2008-07-23
9Y3,2008-07-30,2008-03-26
5N6,2008-04-17,2008-02-10
9N2,2008-05-07,2008-02-12
5Y8,2008-03-09,2008-02-21
1V2,2008-07-28,2008-06-14
7Q4,2008-07-24,2008-07-11
6H1,2008-07-24,2008-06-24
5J7,2008-06-26,2008-03-16
0H4,2008-07-22,2008-02-23
5Z8,2008-07-03,2008-02-01
7P2,2008-06-23,2008-06-21
1Q0,2008-07-18,2008-07-10
4W1,2008-07-21,2008-05-02
3T4,2008-07-19,2008-05-12
7C5,2008-08-03,2008-07-10
5Z6,2008-05-08,2008-04-25
9A6,2008-08-15,2008-06-25
2Q7,2008-08-08,2008-03-29
2V5,2008-04-15,2008-02-28
5A4,2008-08-12,2008-07-28
1Y3,2008-08-04,2008-07-17
4H1,2008-07-01,2008-06-14
1P9,2008-08-10,2008-03-29
9E0,2008-05-24,2008-05-08
6B4,2008-08-10,2008-03-31
9R1,2008-06-14,2008-04-12
0T9,2008-06-11,2008-06-09
8M1,2008-07-24,2008-04-05
1R7,2008-06-27,2008-05-29
0V7,2008-05-10,2008-05-09
2T1,2008-07-18,2008-04-30
5G4,2008-07-09,2008-04-24
2K8,2008-08-06,2008-08-04
4O6,2008-06-30,2008-05-06
0T4,2008-08-14,2008-07-26
3Y9,2008-05-25,2008-03-23
5S3,2008-05-28,2008-04-28
0E0,2008-08-12,2008-08-03
4H7,2008-08-09,2008-01-30
4Q7,2008-04-04,2008-01-11
4E2,2008-07-22,2008-05-10
2I6,2008-07-13,2008-04-23
8K2,2008-08-14,2008-02-05
4U2,2008-04-03,2008-01-17
6C9,2008-08-04,2008-03-17
0J5,2008-05-04,2008-02-27
0S3,2008-07-30,2008-07-22
3B0,2008-05-31,2008-03-01
4V4,2008-07-31,2008-03-09
3C9,2008-01-24,2008-01-23
2F1,2008-03-20,2008-01-14
4L3,2008-06-23,2008-05-13
1E4,2008-08-13,2008-08-12
5H1,2008-08-08,2008-07-20
2S5,2008-07-04,2008-04-09
9A0,2008-03-19,2008-03-14
0P0,2008-07-13,2008-01-15
6V5,2008-07-09,2008-02-12
0Z9,2008-07-10,2008-05-22
5T6,2008-07-24,2008-06-09
1E9,2008-08-02,2008-03-12
0R7,2008-04-22,2008-01-26
5G1,2008-05-04,2008-01-06
2U2,2008-05-26,2008-03-25
4H0,2008-06-24,2008-01-25
9P6,2008-08-14,2008-08-04
0V0,2008-08-01,2008-07-12
6Q0,2008-08-12,2008-07-21
8T9,2008-04-08,2008-01-17
6O4,2008-05-28,2008-05-11
8G4,2008-08-14,2008-07-29
4E5,2008-07-20,2008-07-14
2K6,2008-07-19,2008-06-16
8O5,2008-04-12,2008-01-24
8Q8,2008-08-10,2008-06-24
9R6,2008-03-15,2008-03-08
2C3,2008-04-30,2008-01-10
8F9,2008-07-21,2008-07-13
7E7,2008-07-26,2008-02-03
2C1,2008-07-19,2008-03-22
5F3,2008-08-15,2008-08-03
1H0,2008-07-20,2008-05-12
1R5,2008-08-11,2008-07-14
5C8,2008-06-13,2008-05-24
6E3,2008-06-05,2008-01-15
9E7,2008-02-02,2008-01-24
4C1,2008-03-31,2008-01-12
4N8,2008-03-28,2008-01-30
1S8,2008-08-07,2008-06-30
