Top_Left,Top_Middle,Top_Right,Middle_Left,Center,Middle_Right,Bottom_Left,Bottom_Middle,Bottom_Right,X_Wins
blank,blank,blank,blank,o,o,x,x,x,yes
blank,blank,blank,o,blank,o,x,x,x,yes
blank,blank,blank,x,x,x,blank,o,o,yes
blank,blank,blank,x,x,x,o,blank,o,yes
blank,blank,o,blank,blank,o,x,x,x,yes
blank,blank,o,blank,o,blank,x,x,x,yes
blank,blank,o,blank,o,x,o,x,x,no
blank,blank,o,blank,x,o,x,x,o,no
blank,blank,o,o,blank,blank,x,x,x,yes
blank,blank,o,o,o,x,x,x,x,yes
blank,blank,o,o,x,o,x,x,x,yes
blank,blank,o,x,blank,o,x,x,o,no
blank,blank,o,x,o,blank,o,x,x,no
blank,blank,o,x,o,o,x,x,x,yes
blank,blank,o,x,o,x,o,blank,x,no
blank,blank,o,x,o,x,o,x,blank,no
blank,blank,o,x,x,o,blank,x,o,no
blank,blank,o,x,x,o,x,blank,o,no
blank,blank,o,x,x,x,blank,blank,o,yes
blank,blank,o,x,x,x,blank,o,blank,yes
blank,blank,o,x,x,x,o,blank,blank,yes
blank,blank,o,x,x,x,o,o,x,yes
blank,blank,o,x,x,x,o,x,o,yes
blank,blank,o,x,x,x,x,o,o,yes
blank,blank,x,blank,x,blank,x,o,o,yes
blank,blank,x,blank,x,o,x,o,blank,yes
blank,blank,x,o,blank,x,blank,o,x,yes
blank,blank,x,o,blank,x,o,blank,x,yes
blank,blank,x,o,o,o,blank,x,x,no
blank,blank,x,o,o,o,x,blank,x,no
blank,blank,x,o,o,o,x,x,blank,no
blank,blank,x,o,o,x,blank,blank,x,yes
blank,blank,x,o,o,x,o,x,x,yes
blank,blank,x,o,o,x,x,o,x,yes
blank,blank,x,o,x,blank,x,blank,o,yes
blank,blank,x,o,x,blank,x,o,blank,yes
blank,blank,x,o,x,o,x,blank,blank,yes
blank,blank,x,o,x,o,x,o,x,yes
blank,blank,x,o,x,o,x,x,o,yes
blank,blank,x,o,x,x,o,o,x,yes
blank,blank,x,o,x,x,x,o,o,yes
blank,blank,x,x,blank,x,o,o,o,no
blank,blank,x,x,o,x,o,o,x,yes
