Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Class
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,fish
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,mammal
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,yes,no,fish
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,fish
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,no,yes,no,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,fish
no,no,yes,no,no,no,yes,no,no,no,no,no,0,no,no,no,invertebrate
no,no,yes,no,no,yes,yes,no,no,no,no,no,4,no,no,no,invertebrate
no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no,invertebrate
no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no,bird
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes,fish
no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,bird
no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,2,yes,no,no,bird
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,yes,bird
no,no,yes,no,no,no,no,no,no,yes,no,no,6,no,no,no,insect
no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,no,no,no,amphibian
no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,4,no,no,no,amphibian
yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,2,yes,no,no,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,2,no,yes,yes,mammal
no,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,insect
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,no,no,yes,mammal
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,bird
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no,fish
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,no,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,no,mammal
no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,fish
yes,no,yes,no,yes,no,no,no,no,yes,yes,no,6,no,yes,no,insect
yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,insect
no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,no,bird
no,no,yes,no,yes,no,yes,no,no,yes,no,no,6,no,no,no,insect
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no,bird
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no,invertebrate
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no,insect
no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,yes,no,no,amphibian
no,no,yes,no,no,yes,yes,no,no,no,no,no,8,no,no,yes,invertebrate
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes,mammal
no,yes,yes,no,no,no,no,no,yes,yes,no,no,2,yes,no,yes,bird
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no,bird
no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,2,yes,no,yes,bird
no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no,bird
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes,fish
no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no,fish
no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,0,yes,no,no,reptile
yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,mammal
no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,yes,yes,mammal
yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes,mammal
yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes,mammal
no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,yes,bird
no,no,no,no,no,no,yes,no,no,yes,yes,no,8,yes,no,no,invertebrate
no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no,fish
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,no,no,yes,mammal
yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,2,yes,no,yes,mammal
no,no,no,no,no,yes,yes,yes,yes,no,yes,no,0,yes,no,no,reptile
no,no,yes,no,no,yes,yes,no,no,no,yes,no,0,no,no,no,invertebrate
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,bird
no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no,bird
no,no,yes,no,no,no,yes,yes,yes,yes,no,no,0,yes,no,no,reptile
no,no,yes,no,no,no,no,no,no,yes,no,no,0,no,no,no,invertebrate
