Licensee Name,Street,City,Zip,Licensee Number
DEL FRISCO'S GRILLE,11800 GRAND PARK AVENUE,ROCKVILLE,20852,BBWLHR856
PALADAR LATIN KITCHEN & RUM BAR - G,203 CROWNE PARK AVENUE,GAITHERSBURG,20878,BBWLHR855
29 CONVENIENCE MART,10755 COLESVILLE ROAD,GERMANTOWN,20901,BWLCC021
ASIA NINE II,254 CROWN PARK ROAD,GAITHERSBURG,20878,BBWLHR861
BLO BLOW DRY BAR,317 ELLINGTON BOULEVARD,GAITHERSBURG,20878,BBWLHR866
MAKI MAKI SUSHI,8023 WISCONSIN AVE,GERMANTOWN,20814,CBWLC002
CAMBRIA HOTEL & SUITES,1 HELEN HENEGHAN WAY,ROCKVILLE,20850,BBWLHM20442
CARLUCCIO'S,11826 TRADE STREET,GERMANTOWN,20852,CBWLCC021
BRETTON WOODS RECREATION CENTER,15700 RIVER ROAD,GERMANTOWN,20874,CBWLCC006
TEDS BULLETIN,220 ELLINGTON BOULEVARD,GAITHERSBURG,20878,BBWLHR185
POOLESVILLE GOLF COURSE,16601 WEST WILLARD ROAD,GERMANTOWN,20837,CBWLCC007
OLD TOWN POUR HOUSE,212 ELLINGTON BOULEVARD,GAITHERSBURG,20878,BBWLHR187
