Numeral,Name,Mean radius (km),Sidereal period (d) (r = retrograde),Discovery year,Discovered by,Notes,Planet
I,Moon,1737.1,27.321582,Prehistoric,—,Synchronous rotation,Earth
I,Phobos,11.1 ± 0.15,0.319,1877,Hall,,Mars
II,Deimos,6.2 ± 0.18,1.262,1877,Hall,,Mars
I,Io,1818.1 ± 0.1,1.769,1610,Galileo,Main group moon (Galilean),Jupiter
II,Europa,1560.7 ± 0.7,3.551,1610,Galileo,Main group moon (Galilean),Jupiter
III,Ganymede,2634.1 ± 0.3,7.155,1610,Galileo,Main group moon (Galilean),Jupiter
IV,Callisto,2408.4 ± 0.3,16.69,1610,Galileo,Main group moon (Galilean),Jupiter
V,Amalthea,83.45 ± 2.4,0.498,1892,Barnard,Inner moon (Amalthea),Jupiter
VI,Himalia,85,250.56,1904,Perrine,Prograde irregular (Himalia),Jupiter
VII,Elara,43,259.64,1905,Perrine,Prograde irregular (Himalia),Jupiter
VIII,Pasiphae,30,743.63 (r),1908,Melotte,Retrograde irregular (Pasiphae),Jupiter
IX,Sinope,19,758.90 (r),1914,Nicholson,Retrograde irregular (Pasiphae),Jupiter
X,Lysithea,18,259.2,1938,Nicholson,Prograde irregular (Himalia),Jupiter
XI,Carme,23,734.17 (r),1938,Nicholson,Retrograde irregular (Carme),Jupiter
XII,Ananke,14,629.77 (r),1951,Nicholson,Retrograde irregular (Ananke),Jupiter
XIII,Leda,10,240.92,1974,Kowal,Prograde irregular (Himalia),Jupiter
XIV,Thebe,49.3 ± 2.0,0.675,1979,Synnott (Voyager 1),Inner moon (Amalthea),Jupiter
XV,Adrastea,8.2 ± 2.0,0.298,1979,"Jewitt, Danielson (Voyager 1)",Inner moon (Amalthea),Jupiter
XVI,Metis,21.5 ± 2.0,0.295,1979,Synnott (Voyager 1),Inner moon (Amalthea),Jupiter
XVII,Callirrhoe,4.3,758.77 (r),2000,"Scotti, Spahr, McMillan, Larsen, Montani, Gleason, Gehrels",Retrograde irregular (Pasiphae),Jupiter
XVIII,Themisto,4,130.02,1975/2000,"Kowal and Roemer (original); Sheppard, Jewitt, Fernández, Magnier (rediscovery)",Prograde irregular (Themisto),Jupiter
XIX,Megaclite,2.7,752.86 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Pasiphae),Jupiter
XX,Taygete,2.5,732.41 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),Jupiter
XXI,Chaldene,1.9,723.72 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),Jupiter
XXII,Harpalyke,2.2,623.32 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),Jupiter
XXIII,Kalyke,2.6,742.06 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),Jupiter
XXIV,Iocaste,2.6,631.60 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),Jupiter
XXV,Erinome,1.6,728.46 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),Jupiter
XXVI,Isonoe,1.9,726.23 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),Jupiter
XXVII,Praxidike,3.4,625.39 (r),2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),Jupiter
XXVIII,Autonoe,2,760.95 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),Jupiter
XXIX,Thyone,2,627.21 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),Jupiter
XXX,Hermippe,2,633.9 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke?),Jupiter
XXXI,Aitne,1.5,730.18 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),Jupiter
XXXII,Eurydome,1.5,717.33 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae?),Jupiter
XXXIII,Euanthe,1.5,620.49 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),Jupiter
XXXIV,Euporie,1,550.74 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),Jupiter
XXXV,Orthosie,1,622.56 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),Jupiter
XXXVI,Sponde,1,748.34 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),Jupiter
XXXVII,Kale,1,729.47 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),Jupiter
XXXVIII,Pasithee,1,719.44 (r),2001,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),Jupiter
XXXIX,Hegemone,1.5,739.88 (r),2003,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Pasiphae),Jupiter
XL,Mneme,1,620.04 (r),2003,"Gladman, Allen",Retrograde irregular (Ananke),Jupiter
XLI,Aoede,2,761.50 (r),2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Pasiphae),Jupiter
XLII,Thelxinoe,1,628.09 (r),2003,"Sheppard, Jewitt, Kleyna, Gladman, Kavelaars, Petit, Allen",Retrograde irregular (Ananke),Jupiter
XLIII,Arche,1.5,731.95 (r),2002,"Sheppard, Meech, Hsieh, Tholen, Tonry",Retrograde irregular (Carme),Jupiter
XLIV,Kallichore,1,728.73 (r),2003,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Carme?),Jupiter
XLV,Helike,2,626.32 (r),2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Ananke),Jupiter
XLVI,Carpo,1.5,456.3,2003,"Sheppard, Gladman, Kavelaars, Petit, Allen, Jewitt, Kleyna",Prograde irregular (Carpo),Jupiter
XLVII,Eukelade,2,730.47 (r),2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Retrograde irregular (Carme),Jupiter
XLVIII,Cyllene,1,752 (r),2003,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),Jupiter
XLIX,Kore,1,779.17 (r),2003,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),Jupiter
L,Herse,1,714.51 (r),2003,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen",Retrograde irregular (Carme),Jupiter
—,S/2000 J 11,2,287.93,2001,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh",Prograde irregular (Himalia?),Jupiter
