record_id,item_id,cargo_id,item_weight,timestamp
0,Item_5,Cargo_0,59,2022-07-01 00:00:00
1,Item_5,Cargo_1,59,2022-07-01 00:00:08
2,Item_1,Cargo_8,32,2022-07-01 00:00:13
3,Item_5,Cargo_0,59,2022-07-01 00:00:22
4,Item_2,Cargo_4,89,2022-07-01 00:00:26
5,Item_2,Cargo_5,89,2022-07-01 00:00:27
6,Item_5,Cargo_8,59,2022-07-01 00:00:37
7,Item_2,Cargo_5,89,2022-07-01 00:00:40
8,Item_2,Cargo_5,89,2022-07-01 00:00:41
9,Item_0,Cargo_8,69,2022-07-01 00:00:50
10,Item_2,Cargo_5,89,2022-07-01 00:00:52
11,Item_5,Cargo_4,59,2022-07-01 00:00:53
12,Item_1,Cargo_6,32,2022-07-01 00:00:58
13,Item_4,Cargo_6,27,2022-07-01 00:00:59
14,Item_4,Cargo_2,27,2022-07-01 00:01:01
15,Item_5,Cargo_1,59,2022-07-01 00:01:03
16,Item_5,Cargo_1,59,2022-07-01 00:01:10
17,Item_1,Cargo_1,32,2022-07-01 00:01:14
18,Item_2,Cargo_4,89,2022-07-01 00:01:18
19,Item_5,Cargo_2,59,2022-07-01 00:01:23
20,Item_5,Cargo_0,59,2022-07-01 00:01:30
21,Item_5,Cargo_4,59,2022-07-01 00:01:36
22,Item_1,Cargo_7,32,2022-07-01 00:01:43
23,Item_0,Cargo_9,69,2022-07-01 00:01:49
24,Item_5,Cargo_6,59,2022-07-01 00:01:52
25,Item_5,Cargo_1,59,2022-07-01 00:02:01
26,Item_4,Cargo_3,27,2022-07-01 00:02:02
27,Item_5,Cargo_4,59,2022-07-01 00:02:03
28,Item_0,Cargo_8,69,2022-07-01 00:02:10
29,Item_1,Cargo_7,32,2022-07-01 00:02:15
30,Item_5,Cargo_4,59,2022-07-01 00:02:24
31,Item_1,Cargo_2,32,2022-07-01 00:02:30
32,Item_5,Cargo_8,59,2022-07-01 00:02:33
33,Item_2,Cargo_5,89,2022-07-01 00:02:41
34,Item_4,Cargo_6,27,2022-07-01 00:02:45
35,Item_5,Cargo_0,59,2022-07-01 00:02:51
